name_comment,content_comment
Mai Mai,"Trại dưỡng lão ở Việt Nam! ko nhận người bệnh nan y, ko nhận người nằm liệt giường. Ko nhận người già bị thần kinh. Ko phải cứ có tiền là vào đc nhà dưỡng lão. Cuộc sống kéo dài quá cũng thật đáng sợ. Vì vậy tôi ủng hộ Quyền được chết."
Linh LinhDiep,"Viện dưỡng lão dưỡng sinh với tuổi trên 65 là rất cần thiết cho mọi gia đình. vì không thể ở chung với con cái suốt và lo cho con cháu mãi đến khi nhắm mắt cũng chưa được hưởng chọn niềm vui và sở thích. Hiện người già còn nhiều đam mê và muốn yên vui với chính mình.VN mình hãy làm nên những viện dưỡng lão tầm cỡ như TQ hay ngang hàng với đất nước phát triển ĐN Á, nhiều sự lựa chọn cho từng người và phù hợp nhất. Sẽ là một ngành Kinh Doanh lâu dài và đầy tiềm năng.️️"
Huong Le,"Toi là U 70. Song o nước ngoài gần 50 năm qua. Toi lựa chọn và đang tìm kiếm xem viên dưỡng lão nào là hợp với hoàn cảnh của tôi vào 10 năm tới. Tôi về hưu sau 35 năm cống hien tuổi trẻ của tôi vào việc làm mà toi yêu thích nhất. Từ Khi toi về hưu đến nay toi vẫn sống o căn nhà của minh và không hề có ý định đọn vào o chung với con, mặc dầu chúng có ngỏ lời. Tôi nghĩ rằng những người già như chung ta cố gắng để đừng làm gánh nặng và cản trở tương lai các con. Các con thời đại nay khá bận rộn vi thế đôi khi trở thành vô tâm với cha mẹ già. Người già thi tâm hồn nhậy cảm , sức khỏe thi yếu ớt , tâm ly không ôn định, nếu sống chung với con cái , chúng ta sẽ trở nên u uất và buồn tủi nhiều mâu thuẫn hơn. Tốt nhất là vào viện dưỡng lão, nói chúng ta có thể gặp nhiều người cùng cảnh ngộ , chung ta sẽ có người để bầu bạn và đở buồn hơn."
Bằng Thái,"Thế nên những người già ,( còn đủ sức chưa xụm)   thì phải tự nghĩ cho mình là sẵn sàng cuộc sống một mình,con cháu nhớ thì đến chơi thăm hỏi ,còn không thì cứ cu ky một mình an phận ,tìm vui nơi bạn bè ,ti vi …"
Minh Tuan Luong,"Cảm ơn tác giả mới 35 tuổi mà có tấm lòng hiếu thảo và có tâm đức ,nhưng buồn thay lớp trẻ bây giờ chỉ sống cho mình thôi không nghĩ xa được đâu"
Ngọc Hưng Thân,"Những người vô phúc trong một gia đình không biết giáo dục con cháu thì về già mới phải vào trại dưỡng lão
Còn những gia đình có nề nếp gia phong thuần Việt thì con cháu thảo hiền, sống chan hòa đầm ấm"
Nam Mô A Di Đà Phật," Bài thơ: KHI CON CÁI...
*
Khi con cái gọi điện
Là lúc nó hết tiền"
Kim Chi Vo,Nghe bạn nói mình thật sự muốn rơi nước mắt
Đặng Nguyễn thị,"Tôi cũng bắt đầu thấy lo sợ khi mà sắp phải nhờ đến con cháu, nếu đc vào trại dưỡng lão thì còn hạnh phúc hơn người, thôi ko phải phiền con cháu là tốt nhất,sau này tới lượt chúng nó cũng vậy thôi. Dù sao tôi cũng rất cảm phục trên đời này có những đứa con nghèo thôi mà vô cùng hiếu thảo, những người cha người mẹ ấy có nhắm mắt cũng hạnh phúc vô cùng"
Khang Nguyen,"""Cha mẹ nuôi con biển trời lai láng
Con nuôi cha mẹ tính tháng,kể ngày """
Dieu Tang,Mình đang làm cv chăm sóc Người già. Mình luôn xem họ như cha mẹ. Con cái họ cả năm  cũng không về thăm được vì quá bận rộn và phải chăm con.  Lúc ở VN Mình làm thiện nguyện còn qua Mỹ được chính phủ trả lương . Mình thích cv này.
The Anh Nguyen,"Đối xử với người sinh thành ra mình không ra gì thì chắc chắn là nhân cách con người đó chẳng ra gì.
  Ấy vậy mà rất rất rất rất nhiều những đứa con khi đủ lông đủ cánh rồi thì cút mất để tìm hạnh phúc cho bản thân. 
   Ở viện dưỡng lão thì các cụ phải dằn vặt trong sự cô đơn trong những đêm dài khó ngủ.Xung quanh là những người xa lạ chăm sóc mình bởi tác động miếng cơm manh áo chứ đâu phải từ tình cảm"
Khe Vụ van,"Theo tôi tùy theo từng hoàn cảnh ạ , lếu cứ giữ chân con cháu chúng sẽ không làm gì và đi đâu được và hết đời này đến đời khác nghèo đói lạc hậu ạ"
Nam Mô A Di Đà Phật,"KHI CHA MẸ...

Cha mẹ ngu khờ...
Họ vẫn là người thầy đầu tiên!."
Tho Nguyen,"Dưỡng lão là một nơi mà mang lại nhiều lợi ích nhất ở đó những người cùng tuổi họ sẽ có tiếng nói chung, người chăm sóc do họ được hưởng lương nên họ cũng xem người dưỡng lão như là một ân nhân gúp cho họ có thu nhập vì vậy cũng tốt thôi"
Linda Le,"Chúng ta nên đổi cách suy nghỉ, ở viện dưỡng lão có bạn bè cùng thế hệ, chấp nhận sẽ sống an vui, các cụ đánh cờ, đan áo, chơi game, kể chuyện. Chấp nhận sẽ an vui, đừng mong mỏi gì ở chúng nó mới yên vui được"
Yasushi Takasaki,Nước mắt chảy xuôi...Thời đại 4.0 = 4 Chấm Hết !
ngọc hân trương thị,"Nghe câu chuyện người mẹ, tôi thấy thấm thía nỗi buồn ấy, tôi cũng buồn cho tương lai."
th oppo,"Người già có con cháu nên phải đắng đo suy nghĩ nên vào VDL hay ở chung với con cháu . Còn như người độc thân thì sao , họ chỉ có một quyền là sống gần hàng xóm hoặc vào VDL mà thôi . Họ không có còn được cảm giác bị ai bỏ rơi cả ."
bang vu,Đồng ý với nhung chia sẻ cua ban 🇺🇸️
timmie nguyen,"Thế gian là chỗ KHỔ......nên không thể hoàn hảo cho nhu cầu của tất cả con người.Nên hãy biết chấp nhận hoàn cảnh riêng của mình, và hãy biết nương tựa vào niềm tin tôn giáo, mới thật sự tìm được hạnh phúc tinh thần mà thôi.!!!!"
bach lien vu thi,"tôi sanh ra một gd nghèo chưa nghĩ cha mẹ lúc tủi già
mong báo đáp 
Vậy mà trời thương cha mẹ tôi lại sống ngắn với chúng tôi
Nay tôi tu tại gia để trả hiếu cho cha mẹ ông bà tổ tiên"
Dung Cao,Qua câu chuyện của bà cụ nhữ đề thi về để đến lúc mình giờ để đến lúc mình già yếu kể đến lúc mình giờ yêu để đến lúc mình già yếung người làm cha làm mẹ chúng đang sống với con phải hết sức tỉnh táo nếu cha mẹ còn sức khỏe kiếm được tiền thì nên phòng thân đừng có tin tưởng vào con cái vì xã hội ngày nay con người sống khác xưa rồi
Nhạc sĩ Trần Thanh Hiền,"Video rất hay và ý nghĩa. Giọng kể cũng rất truyền cảm . Đúng là mỗi cây mỗi hoa Mỗi nhà mỗi cảnh. Có những người mẹ có con gái chăm sóc chu đáo nhưng vẫn không bằng lòng với con gái. Trong khi video này người mẹ già có con gái và con rể quá hỗn xược. "" Ai mà chửi mẹ đánh cha ... Đi xuống âm phủ leo ba cầu vồng. Ai mà chửi đánh mẹ cha ... chết xuống âm phủ làm nem giã giò"" ...mong rằng những người con xem được video này hãy rút ra bài học chữ hiếu cho chính mình và những người già hay bất kỳ ai cũng có bài học về sự tích lũy cho bản thân .... A di Đà Phật... Viện dưỡng lão hay nhà ở cũng không quan trọng . Điều quan trọng là con người sống với nhau bằng tình yêu thương . Và cũng là một bài học đáng suy ngẫm. Tặng like video ngàn like"
Taffi,"họ có bằng cấp kinh nghiệm đào tạo chăm sóc người già gì đâu mà cứ muốn để con cái chăm sóc,tình cảm mấy cũng vẫn chỉ là con người không hoàn toàn,nói chi không được đào tạo cách thức,tâm lý,kiến thức đủ để chăm sóc ...cha mẹ nào chỉ thích dựa dẫm con cái thì cũng chỉ là lối suy nghĩ ích kỷ chỉ biết nghĩ đến mình để rồi thiệt mình-khổ con ."
Bình An Vui Lam,"Con người thèm được thương yêu và chia sẻ tình thương của mình tới ai đó. Đến khi con lớn khôn thì không còn nói chuyện hay tiếp xúc được các con như khi chúng còn nhỏ. Đó là sự đau khổ của đa số người già. 

Còn có một người đang âm thầm chờ đón bạn , đó là bản thân của bạn. 

Hãy chăm sóc bản thân mình, dạo mát ngoài trời , đọc sách về tâm linh, nghiên cứu cách ăn uống lành mạnh, thể  dục để có sức khỏe ..... rất nhiều việc để  làm trong một ngày. Thiền định trước khi ngủ và sau khi thức dậy. Chao ôi!  một ngày làm không hết việc , còn thì giờ đâu để ý đến người khác. Mỗi ngày  ngắm mình cười khỏe đẹp trong gương. Thật hạnh phúc ,  món quà đặc biệt tự tay làm cho chính mình."
Tuyet Patten,"Đừng kêu con cháu lo Cho cha mẹ, hãy vào viện dưỡng lão để thân già được yên với những lời mắng nhiéc,hành hạ của giới trẻ, trong viện dưỡng lão sẽ có những người bạn già cũng cô đơn giống mình"
Ba Tu Tuong,Mình đi làm nuôi con từ nhỏ ai lại không thương con hy sinh cho con nhưng mình cũng phải thương bản thân về già của mình chúng nó không lo cho mình được khi về già thì mình vẫn có tiền mình sống giao hết cho tụi nó là mình chết gì buồn tức
linda hoang,"Một câu hỏi, một câu trả lời đều là những điều đau lòng,  rơi nước mắt. Chết sớm càng tốt hơn sống già mà đau khổ như thế này."
