name_comment,rating,time,review
LESYA NEBLOGGER,2 stars,5 months ago,"A doctor's visit to this clinic is 500.000, but I could not get in, because the girl at the reception ABSOLUTELY does not know how to communicate with clients!  Rude and boorish behavior is not acceptable for the hospital!  I think management needs to take action!  The guy in front of me was also not happy with her."
Jorja,5 stars,2 months ago,"As an English-speaking tourist, I had the best care here. I was admitted for five nights and all the staff I experienced were highly competent. They provided a translator to communicate diagnoses and were extremely thorough and efficient. I did not have to wait for testing and the hospital is very clean and well-staffed."
Digital Nomad,5 stars,a month ago,"Excellent service for foreigners! Came at 10:00 Saturday with a sinus infection, was greeted by English speaking staff. Paid 600,000 fee (bring your passport), waited 15 min to see doctor and by 11:00, I had my meds from the pharmacy and was done."
C Cutler,5 stars,2 years ago,"English speaker maintained continuous contact between staff and doctor. Health exam included chest X-ray, ultrasound is lung , spleen, kidney, abdomen. Complete blood profile. Approx two hours provided exam results. Approx 2 million dong, all inclusive.  Efficient, friendly staff.
Highly recommend.
Pharmacy and emergency room on site."
Hendrik Boelck,5 stars,a month ago,"I was there because had some a cough which didn't go away for a few weeks now.

So when I arrived there, an english speaking staff helped me all the way.

I paid 500 000 for the doctors appointment(there is an free meal included) and about 350 000 for some tests and another 300 000 for some medicine.

The staff translated everything with the doctor. I felt like beeing in good hands.
So would recommend this hospital for foreigners, needing an appointment in Hanoi"
Kingston,5 stars,2 months ago,Was seen in the ER for a stomach infection. Very happy with the service & fair pricing. The doctor &  staff spoke English & explained everything to me. Left with detailed medical records & picked up medication for treatment.
Ef Ya,5 stars,3 months ago,Amazing service. Came with pain in my leg. The whole process was 30 minutes.  there are translators. 920k dong for Doctor and xray. Very recommended if you need hospital Very efficient
Sara McQuaid,5 stars,4 years ago,"Excellent experience. I went today at 3 o'clock and I was in and out in about an hour. No waiting for rooms, I was always seem immediately. There are a few doctors and nurses with great English. The staff is all very nice. They let me keep all my exam forms and scans when I was done, so now I have an x-ray of my insides which is cool. They have a pharmacy inside the hospital. They also have a free buffet on the top level that's actually really nice."
Ranjith Karanam,1 star,a month ago,Definitely wouldn’t recommend this place . I recently broke my ankle in a road accident and I got a cast with them coasted me 5 million and asked me to come back after 10days and when I went there they wanted another cast and this time they wanted to charge me 6 million … so I decided to go to thu cuc which is only 2.2 million .
Jonny Johnson,5 stars,a month ago,Had a good experience. 750.000VND for a PCR test. same day result. friendly staff
